 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    0, model update,              36209,              36209,            3325.21,             619156,                  0,       0.062047/2.390616,       0.169483/1.857031,       0.000000/0.461790,       0.060351/2.634341,                 0.0/0.0,               0.02,
   18,   relocation,              13634,              13634,            2771.47,             241191,                  0,       0.021068/1.495347,      -0.065502/1.142382,      -0.000000/0.421590,       0.034861/1.644253,                 0.0/0.0,
   19,   relocation,            12806.4,            12806.4,            2696.72,             226966,                  0,       0.020088/1.450781,      -0.065950/1.107020,      -0.000000/0.415866,       0.033648/1.595033,                 0.0/0.0,
   20,   relocation,            12016.5,            12016.5,            2625.57,             213380,                  0,       0.018744/1.406905,      -0.066187/1.072199,      -0.000000/0.410343,       0.031940/1.546570,                 0.0/0.0,
    4, model update,            11263.9,            11263.9,            2558.03,             241636,                  0,       0.017465/1.363659,      -0.066557/1.037923,       0.000000/0.405031,       0.043165/1.645575,                 0.0/0.0,               0.02,
    5, model update,            11121.3,            11121.3,            1718.83,             242613,                  0,       0.027864/1.363105,       0.031415/1.032972,      -0.000000/0.332010,       0.045156/1.648844,                 0.0/0.0,               0.02,
    6, model update,            11078.5,            11078.5,            1869.86,             239933,                  0,       0.018043/1.355230,      -0.077220/1.028565,       0.000000/0.346290,       0.045156/1.639707,                 0.0/0.0,               0.02,
    7, model update,            11050.3,            11050.3,            1599.46,             241494,                  0,       0.031336/1.359052,       0.065772/1.028044,       0.000000/0.320274,       0.045628/1.645024,                 0.0/0.0,               0.02,
   21,   relocation,            10968.7,            10968.7,            1786.78,             197622,                  0,       0.019237/1.351359,      -0.064535/1.024304,       0.000000/0.338510,       0.032383/1.488334,                 0.0/0.0,
   22,   relocation,            10249.1,            10249.1,            1727.44,             185223,                  0,       0.017783/1.308361,      -0.063857/0.990043,       0.000000/0.332841,       0.030426/1.440907,                 0.0/0.0,
   23,   relocation,            9566.74,            9566.74,            1671.06,             173392,                  0,       0.015988/1.265994,      -0.063097/0.956425,      -0.000000/0.327365,       0.028019/1.394160,                 0.0/0.0,
   24,   relocation,             8918.6,             8918.6,            1617.05,             162162,                  0,       0.015066/1.224405,      -0.062404/0.923359,       0.000000/0.322031,       0.026747/1.348262,                 0.0/0.0,
   25,   relocation,            8304.58,            8304.58,             1565.6,             151454,                  0,       0.013186/1.183416,      -0.061723/0.890904,       0.000000/0.316866,       0.024239/1.303018,                 0.0/0.0,
   26,   relocation,            7723.07,            7723.07,            1516.92,             141335,                  0,       0.012301/1.143315,      -0.060768/0.859060,       0.000000/0.311901,       0.022985/1.258745,                 0.0/0.0,
   27,   relocation,            7173.53,            7173.53,            1470.37,             131701,                  0,       0.010265/1.103811,      -0.060251/0.827811,       0.000000/0.307078,       0.020295/1.215122,                 0.0/0.0,
   28,   relocation,            6654.21,            6654.21,            1426.56,             122627,                  0,       0.009658/1.065240,      -0.058991/0.797213,       0.000000/0.302468,       0.019363/1.172517,                 0.0/0.0,
   29,   relocation,            6165.25,            6165.25,            1384.43,             114004,                  0,       0.007633/1.027278,      -0.058599/0.767228,       0.000000/0.297969,       0.016701/1.130574,                 0.0/0.0,
   30,   relocation,            5703.92,            5703.92,            1344.99,             105904,                  0,       0.007023/0.990269,      -0.057255/0.737897,       0.000000/0.293694,       0.015757/1.089675,                 0.0/0.0,
   31,   relocation,            5270.41,            5270.41,             1306.7,            98229.4,                  0,       0.004804/0.953902,      -0.056822/0.709161,       0.000000/0.289483,       0.012840/1.049479,                 0.0/0.0,
   32,   relocation,               4862,               4862,             1270.6,            91013.7,                  0,       0.004686/0.918381,      -0.055205/0.681079,       0.000000/0.285456,       0.012499/1.010197,                 0.0/0.0,
   33,   relocation,            4479.26,            4479.26,            1235.36,            84202.3,                  0,       0.002827/0.883555,      -0.054764/0.653576,       0.000000/0.281470,       0.010046/0.971683,                 0.0/0.0,
   34,   relocation,            4120.59,            4120.59,            1202.26,            77838.4,                  0,       0.002507/0.849716,      -0.052813/0.626839,       0.000000/0.277673,       0.009405/0.934245,                 0.0/0.0,
   35,   relocation,            3786.06,            3786.06,            1169.96,              71826,                  0,       0.000927/0.816479,      -0.052239/0.600717,       0.000000/0.273918,       0.007297/0.897454,                 0.0/0.0,
   36,   relocation,            3473.82,            3473.82,               1140,            66236.3,                  0,       0.000928/0.784305,      -0.050736/0.575352,       0.000000/0.270388,       0.007124/0.861825,                 0.0/0.0,
   37,   relocation,            3184.42,            3184.42,            1111.08,            60984.2,                  0,      -0.000570/0.752843,      -0.050562/0.550686,       0.000000/0.266936,       0.005168/0.826963,                 0.0/0.0,
   38,   relocation,            2914.95,            2914.95,            1084.46,            56119.4,                  0,      -0.001102/0.722470,      -0.048726/0.526839,       0.000000/0.263719,       0.004266/0.793297,                 0.0/0.0,
   39,   relocation,            2666.06,            2666.06,            1057.86,            51541.7,                  0,      -0.002331/0.692692,      -0.048717/0.503645,       0.000000/0.260465,       0.002678/0.760261,                 0.0/0.0,
   40,   relocation,            2434.73,            2434.73,            1033.14,            47324.8,                  0,      -0.003212/0.664065,      -0.046870/0.481268,       0.000000/0.257403,       0.001325/0.728500,                 0.0/0.0,
    8, model update,            2222.07,            2222.07,            1008.43,             113330,                  0,      -0.004117/0.636045,      -0.046660/0.459583,      -0.000000/0.254307,       0.035149/1.126802,                 0.0/0.0,               0.02,
    9, model update,            2188.84,            2188.84,            717.629,             114159,                  0,       0.006168/0.637541,       0.054496/0.455229,      -0.000000/0.214529,       0.036621/1.130874,                 0.0/0.0,               0.02,
   10, model update,            2197.75,            2197.75,            793.494,             112272,                  0,      -0.005185/0.629342,      -0.072615/0.453636,      -0.000000/0.225583,       0.036800/1.121471,                 0.0/0.0,              0.019,
   11, model update,            2155.22,            2155.22,             658.12,             113646,                  0,       0.006174/0.633952,       0.052465/0.451909,       0.000000/0.205441,       0.036865/1.128319,                 0.0/0.0,              0.019,
   41,   relocation,            2155.89,            2155.89,            729.447,              42436,                  0,      -0.003816/0.627276,      -0.060290/0.451003,       0.000000/0.216288,       0.002111/0.689844,                 0.0/0.0,
   42,   relocation,            1952.07,            1952.07,            709.532,            38923.5,                  0,      -0.003927/0.600862,      -0.052778/0.429743,       0.000000/0.213315,       0.001090/0.660680,                 0.0/0.0,
   43,   relocation,            1771.94,            1771.94,            689.229,            35578.7,                  0,      -0.005127/0.574668,      -0.051090/0.409337,       0.000000/0.210241,      -0.000656/0.631656,                 0.0/0.0,
   44,   relocation,            1606.25,            1606.25,            670.588,            32567.3,                  0,      -0.005051/0.549999,      -0.047467/0.389874,       0.000000/0.207378,      -0.000981/0.604332,                 0.0/0.0,
   45,   relocation,            1457.31,            1457.31,            652.936,            29709.7,                  0,      -0.006239/0.525574,      -0.047171/0.371114,       0.000000/0.204631,      -0.002550/0.577206,                 0.0/0.0,
   46,   relocation,            1320.84,            1320.84,            636.154,            27194.8,                  0,      -0.005647/0.503061,      -0.043517/0.353485,       0.000000/0.201984,      -0.002213/0.552237,                 0.0/0.0,
   47,   relocation,             1199.5,             1199.5,            620.129,            24792.4,                  0,      -0.006599/0.480632,      -0.043983/0.336538,       0.000000/0.199423,      -0.003387/0.527273,                 0.0/0.0,
   48,   relocation,            1088.96,            1088.96,            604.298,            22720.4,                  0,      -0.005861/0.460359,      -0.040396/0.320851,       0.000000/0.196862,      -0.002853/0.504763,                 0.0/0.0,
   49,   relocation,            990.949,            990.949,            588.789,            20723.8,                  0,      -0.006620/0.440000,      -0.041346/0.305704,       0.000000/0.194319,      -0.003722/0.482067,                 0.0/0.0,
   50,   relocation,            901.451,            901.451,            573.818,            19016.4,                  0,      -0.006029/0.421754,      -0.037568/0.291819,       0.000000/0.191833,      -0.003401/0.461783,                 0.0/0.0,
   51,   relocation,            822.688,            822.688,            559.294,            17356.1,                  0,      -0.006613/0.403291,      -0.038733/0.278398,      -0.000000/0.189389,      -0.004019/0.441157,                 0.0/0.0,
   52,   relocation,            750.552,            750.552,            545.214,            15948.8,                  0,      -0.006358/0.386886,      -0.035588/0.266105,       0.000000/0.186990,      -0.004056/0.422893,                 0.0/0.0,
   53,   relocation,            686.658,            686.658,            531.456,            14583.7,                  0,      -0.006337/0.370344,      -0.035944/0.254264,      -0.000000/0.184616,      -0.003988/0.404389,                 0.0/0.0,
   54,   relocation,            628.477,            628.477,            518.133,            13422.3,                  0,      -0.006023/0.355604,      -0.033025/0.243443,       0.000000/0.182287,      -0.003923/0.387952,                 0.0/0.0,
   55,   relocation,             576.33,             576.33,            504.848,            12284.2,                  0,      -0.005949/0.340596,      -0.033109/0.232918,       0.000000/0.179935,      -0.003818/0.371139,                 0.0/0.0,
   56,   relocation,            528.658,            528.658,            492.124,            11310.2,                  0,      -0.005730/0.327150,      -0.030618/0.223230,      -0.000000/0.177653,      -0.003826/0.356119,                 0.0/0.0,
   57,   relocation,            486.055,            486.055,            479.518,            10375.6,                  0,      -0.005195/0.313750,      -0.030702/0.213858,       0.000000/0.175363,      -0.003125/0.341094,                 0.0/0.0,
   58,   relocation,            446.717,            446.717,            467.299,            9564.49,                  0,      -0.005456/0.301574,      -0.028458/0.205159,       0.000000/0.173114,      -0.003723/0.327483,                 0.0/0.0,
   59,   relocation,            411.704,            411.704,            455.559,            8783.86,                  0,      -0.004795/0.289431,      -0.028343/0.196810,       0.000000/0.170926,      -0.002884/0.313841,                 0.0/0.0,
   60,   relocation,            379.097,            379.097,            443.869,            8117.84,                  0,      -0.005056/0.278569,      -0.026549/0.188948,       0.000000/0.168718,      -0.003430/0.301702,                 0.0/0.0,
   12, model update,            349.905,            349.905,            432.754,             105496,                  0,      -0.004667/0.267566,      -0.025586/0.181516,      -0.000000/0.166593,       0.044661/1.086770,                 0.0/0.0,              0.019,
   13, model update,             404.41,             404.41,            340.782,             107189,                  0,       0.004548/0.276868,       0.076089/0.181790,      -0.000000/0.147834,       0.044690/1.095468,                 0.0/0.0,            0.01805,
   14, model update,            355.838,            355.838,            385.486,             105327,                  0,      -0.006778/0.264475,      -0.048809/0.178298,      -0.000000/0.157231,       0.044646/1.085898,                 0.0/0.0,            0.01805,
   15, model update,             370.94,             370.94,            314.165,             106868,                  0,       0.003088/0.271791,       0.062649/0.178039,       0.000000/0.141943,       0.044374/1.093836,                 0.0/0.0,          0.0171475,
   61,   relocation,            344.828,            344.828,            362.516,            7252.13,                  0,      -0.006492/0.262800,      -0.045032/0.176316,      -0.000000/0.152475,      -0.003127/0.285163,                 0.0/0.0,
   62,   relocation,            306.688,            306.688,            353.734,            6760.29,                  0,      -0.004878/0.253780,      -0.027333/0.169426,      -0.000000/0.150617,      -0.003108/0.275322,                 0.0/0.0,
   63,   relocation,            285.316,            285.316,            344.042,            6263.14,                  0,      -0.004885/0.244578,      -0.030251/0.162742,       0.000000/0.148539,      -0.002778/0.265007,                 0.0/0.0,
   64,   relocation,            259.604,            259.604,            334.984,            5793.73,                  0,      -0.004019/0.235475,      -0.021405/0.156437,       0.000000/0.146571,      -0.002692/0.254883,                 0.0/0.0,
   65,   relocation,            242.298,            242.298,            326.748,            5342.56,                  0,      -0.004248/0.226512,      -0.027167/0.150102,       0.000000/0.144758,      -0.002315/0.244760,                 0.0/0.0,
   66,   relocation,            220.493,            220.493,            317.599,            4944.35,                  0,      -0.003304/0.218149,      -0.018594/0.144323,       0.000000/0.142717,      -0.002096/0.235463,                 0.0/0.0,
   67,   relocation,            206.862,            206.862,            309.659,            4585.22,                  0,      -0.003504/0.210433,      -0.024766/0.138753,       0.000000/0.140921,      -0.001634/0.226754,                 0.0/0.0,
   68,   relocation,            187.842,            187.842,            301.118,            4232.52,                  0,      -0.002611/0.202450,      -0.015998/0.133354,       0.000000/0.138964,      -0.001504/0.217859,                 0.0/0.0,
   69,   relocation,            176.854,            176.854,             293.55,             3930.3,                  0,      -0.002529/0.195452,      -0.022653/0.128339,       0.000000/0.137207,      -0.000622/0.209941,                 0.0/0.0,
   70,   relocation,            160.797,            160.797,            285.428,            3622.13,                  0,      -0.001736/0.187934,      -0.014524/0.123414,       0.000000/0.135295,      -0.000546/0.201542,                 0.0/0.0,
   71,   relocation,            152.206,            152.206,             278.37,            3393.55,                  0,      -0.001866/0.182204,      -0.020481/0.119153,       0.000000/0.133612,      -0.000019/0.195080,                 0.0/0.0,
   72,   relocation,            138.638,            138.638,            270.303,            3128.61,                  0,      -0.001011/0.175250,      -0.012970/0.114655,       0.000000/0.131662,       0.000209/0.187310,                 0.0/0.0,
   73,   relocation,            131.924,            131.924,            263.777,            2946.88,                  0,      -0.001973/0.170344,      -0.019052/0.110933,      -0.000000/0.130063,      -0.000323/0.181789,                 0.0/0.0,
   74,   relocation,            120.665,            120.665,            256.237,            2722.74,                  0,      -0.000716/0.164047,      -0.011516/0.107029,      -0.000000/0.128191,       0.000420/0.174738,                 0.0/0.0,
   75,   relocation,            115.452,            115.452,            250.432,            2580.71,                  0,      -0.001158/0.159942,      -0.017498/0.103832,       0.000000/0.126730,       0.000547/0.170119,                 0.0/0.0,
   76,   relocation,            106.347,            106.347,            243.535,            2390.19,                  0,      -0.000300/0.154239,      -0.010449/0.100517,      -0.000000/0.124973,       0.000833/0.163718,                 0.0/0.0,
   77,   relocation,             102.38,             102.38,            238.356,            2283.07,                  0,      -0.000635/0.150930,      -0.016421/0.097787,      -0.000000/0.123637,       0.001097/0.160005,                 0.0/0.0,
   78,   relocation,            95.0541,            95.0541,            231.558,            2128.73,                  0,      -0.000052/0.146006,      -0.009305/0.095088,       0.000000/0.121861,       0.001019/0.154503,                 0.0/0.0,
   79,   relocation,            91.7775,            91.7775,            227.092,             2045.8,                  0,      -0.000263/0.143285,      -0.014549/0.092747,       0.000000/0.120680,       0.001359/0.151461,                 0.0/0.0,
   80,   relocation,            85.9787,            85.9787,            221.115,            1911.36,                  0,       0.000359/0.138784,      -0.008495/0.090469,      -0.000000/0.119082,       0.001455/0.146398,                 0.0/0.0,
   16, model update,            83.1445,            83.1445,            217.371,             117776,                  0,      -0.000041/0.136379,      -0.013293/0.088363,      -0.000000/0.118069,       0.044831/1.148376,                 0.0/0.0,          0.0171475,
   17, model update,            169.537,            169.537,            187.683,             119481,                  0,       0.008534/0.149475,       0.084156/0.095912,       0.000000/0.109710,       0.044527/1.156681,                 0.0/0.0,          0.0162901,
   18, model update,            80.5895,            80.5895,            183.541,             118005,                  0,      -0.001494/0.132229,      -0.027108/0.083693,      -0.000000/0.108493,       0.044566/1.149500,                 0.0/0.0,          0.0162901,
   19, model update,            151.109,            151.109,            169.366,             119302,                  0,       0.007970/0.144751,       0.078461/0.091409,      -0.000000/0.104219,       0.044463/1.155813,                 0.0/0.0,          0.0154756,
   81,   relocation,            74.8499,            74.8499,            171.762,            1703.77,                  0,      -0.001139/0.130124,      -0.023154/0.081560,      -0.000000/0.104954,       0.001232/0.138221,                 0.0/0.0,
   82,   relocation,            65.5154,            65.5154,            167.332,            1573.74,                  0,      -0.000044/0.125240,      -0.009693/0.078726,      -0.000000/0.103592,       0.001075/0.132843,                 0.0/0.0,
   83,   relocation,            64.4185,            64.4185,             163.83,            1522.31,                  0,      -0.000799/0.123281,      -0.014406/0.077323,      -0.000000/0.102502,       0.000651/0.130657,                 0.0/0.0,
   84,   relocation,            59.0528,            59.0528,            159.335,            1429.11,                  0,       0.000327/0.119598,      -0.006850/0.074994,      -0.000000/0.101086,       0.001222/0.126590,                 0.0/0.0,
   85,   relocation,            58.6283,            58.6283,            156.532,            1385.77,                  0,      -0.000460/0.117896,      -0.012390/0.074005,      -0.000000/0.100193,       0.000853/0.124658,                 0.0/0.0,
   86,   relocation,            54.4547,            54.4547,            152.255,            1317.09,                  0,       0.000480/0.115020,      -0.004625/0.072167,      -0.000000/0.098814,       0.001161/0.121527,                 0.0/0.0,
   87,   relocation,            54.1994,            54.1994,            150.105,            1290.19,                  0,      -0.000343/0.113910,      -0.010515/0.071375,      -0.000000/0.098114,       0.000785/0.120283,                 0.0/0.0,
   88,   relocation,            50.8087,            50.8087,            145.962,            1222.34,                  0,       0.000804/0.110997,      -0.003717/0.069753,      -0.000000/0.096751,       0.001472/0.117070,                 0.0/0.0,
   89,   relocation,            50.5649,            50.5649,            143.674,            1203.43,                  0,      -0.000541/0.110157,      -0.008886/0.069116,      -0.000000/0.095990,       0.000338/0.116170,                 0.0/0.0,
   90,   relocation,            48.0143,            48.0143,             139.56,             1145.5,                  0,       0.000477/0.107582,      -0.003269/0.067826,      -0.000000/0.094605,       0.000997/0.113336,                 0.0/0.0,
   91,   relocation,            48.2204,            48.2204,            137.621,            1137.86,                  0,      -0.000678/0.107202,      -0.008423/0.067527,      -0.000000/0.093946,       0.000108/0.112962,                 0.0/0.0,
   92,   relocation,            45.4174,            45.4174,            133.988,            1080.26,                  0,       0.000320/0.104578,      -0.003013/0.065974,      -0.000000/0.092698,       0.000765/0.110062,                 0.0/0.0,
   93,   relocation,            45.7886,            45.7886,            131.935,            1073.11,                  0,      -0.000834/0.104208,      -0.007785/0.065853,      -0.000000/0.091985,      -0.000168/0.109700,                 0.0/0.0,
   94,   relocation,            43.5304,            43.5304,            129.005,            1018.37,                  0,      -0.000129/0.101684,      -0.002604/0.064603,      -0.000000/0.090957,       0.000137/0.106865,                 0.0/0.0,
   95,   relocation,            44.2022,            44.2022,             127.55,            1033.24,                  0,      -0.001054/0.102279,      -0.007654/0.064702,      -0.000000/0.090443,      -0.000468/0.107642,                 0.0/0.0,
   96,   relocation,            42.0541,            42.0541,            124.966,            974.673,                  0,      -0.000269/0.099561,      -0.002160/0.063513,      -0.000000/0.089522,      -0.000095/0.104548,                 0.0/0.0,
   97,   relocation,            42.7466,            42.7466,            123.535,            993.412,                  0,      -0.001081/0.100337,      -0.006370/0.063754,      -0.000000/0.089008,      -0.000652/0.105546,                 0.0/0.0,
   98,   relocation,            41.1319,            41.1319,            121.197,            946.596,                  0,      -0.000221/0.098122,      -0.001935/0.062820,      -0.000000/0.088162,      -0.000059/0.103031,                 0.0/0.0,
   99,   relocation,            41.8389,            41.8389,            120.065,            955.598,                  0,      -0.000831/0.098497,      -0.005993/0.063103,      -0.000000/0.087749,      -0.000373/0.103519,                 0.0/0.0,
  100,   relocation,            40.1965,            40.1965,            118.184,            908.091,                  0,      -0.000803/0.096222,      -0.002318/0.062087,      -0.000000/0.087059,      -0.000767/0.100911,                 0.0/0.0,
   20, model update,            41.1755,            41.1755,            117.122,             122799,                  0,      -0.001177/0.097487,      -0.005899/0.062605,      -0.000000/0.086667,       0.042427/1.172731,                 0.0/0.0,          0.0147018,
   21, model update,            99.6982,            99.6982,            111.686,             123939,                  0,       0.005439/0.110071,       0.065311/0.072862,      -0.000000/0.084632,       0.042657/1.178161,                 0.0/0.0,          0.0139667,
   22, model update,            42.9349,            42.9349,            102.939,             122927,                  0,      -0.002771/0.094369,      -0.024687/0.059277,       0.000000/0.081250,       0.042562/1.173341,                 0.0/0.0,          0.0139667,
   23, model update,            98.4258,            98.4258,            102.778,             123849,                  0,       0.005606/0.107021,       0.069119/0.068372,       0.000000/0.081187,       0.042428/1.177744,                 0.0/0.0,          0.0132684,
  101,   relocation,            38.0213,            38.0213,            96.6602,            853.774,                  0,      -0.002272/0.092611,      -0.018287/0.057593,      -0.000000/0.078733,      -0.000799/0.097846,                 0.0/0.0,
  102,   relocation,            32.4168,            32.4168,            95.3859,            788.331,                  0,      -0.001217/0.089177,      -0.003676/0.055674,      -0.000000/0.078213,      -0.001143/0.094017,                 0.0/0.0,
  103,   relocation,            34.0406,            34.0406,            94.3155,            820.273,                  0,      -0.001455/0.090742,      -0.008043/0.056607,      -0.000000/0.077773,      -0.000940/0.095906,                 0.0/0.0,
  104,   relocation,            32.2667,            32.2667,            92.8967,            776.346,                  0,      -0.000752/0.088468,      -0.001281/0.055651,      -0.000000/0.077185,      -0.000822/0.093303,                 0.0/0.0,
  105,   relocation,            33.0635,            33.0635,            92.0024,            793.094,                  0,      -0.001230/0.089276,      -0.007616/0.055832,      -0.000000/0.076813,      -0.000699/0.094305,                 0.0/0.0,
  106,   relocation,            32.0131,            32.0131,            90.7113,            758.407,                  0,      -0.000470/0.087464,      -0.000116/0.055447,      -0.000000/0.076272,      -0.000593/0.092221,                 0.0/0.0,
  107,   relocation,            32.2745,            32.2745,            89.8088,            766.474,                  0,      -0.001037/0.087827,      -0.006571/0.055283,      -0.000000/0.075892,      -0.000572/0.092710,                 0.0/0.0,
  108,   relocation,            31.8695,            31.8695,            88.3289,            748.019,                  0,      -0.000786/0.086818,      -0.000907/0.055315,      -0.000000/0.075264,      -0.000910/0.091584,                 0.0/0.0,
  109,   relocation,            31.6156,            31.6156,            87.5679,            742.813,                  0,      -0.001871/0.086490,      -0.006309/0.054739,      -0.000000/0.074939,      -0.001680/0.091254,                 0.0/0.0,
  110,   relocation,            32.0018,            32.0018,            86.4339,            735.236,                  0,      -0.000847/0.086087,      -0.002374/0.055386,      -0.000000/0.074452,      -0.000817/0.090799,                 0.0/0.0,
  111,   relocation,            31.5653,            31.5653,            85.8149,              736.7,                  0,      -0.001426/0.086100,      -0.004885/0.054840,      -0.000000/0.074185,      -0.001272/0.090884,                 0.0/0.0,
  112,   relocation,            31.5137,            31.5137,            84.7003,            723.632,                  0,      -0.000345/0.085391,      -0.001987/0.054977,      -0.000000/0.073702,      -0.000213/0.090083,                 0.0/0.0,
  113,   relocation,            31.5467,            31.5467,            84.2363,            727.372,                  0,      -0.001427/0.085548,      -0.005383/0.054778,      -0.000000/0.073500,      -0.001215/0.090308,                 0.0/0.0,
  114,   relocation,            31.1568,            31.1568,            83.2566,            709.116,                  0,      -0.000455/0.084557,      -0.002323/0.054651,      -0.000000/0.073071,      -0.000317/0.089175,                 0.0/0.0,
  115,   relocation,            31.0963,            31.0963,            82.4789,             712.43,                  0,      -0.000906/0.084680,      -0.004643/0.054449,      -0.000000/0.072729,      -0.000628/0.089381,                 0.0/0.0,
  116,   relocation,            30.9678,            30.9678,            81.5837,            705.273,                  0,       0.000386/0.084264,      -0.001399/0.054516,       0.000000/0.072333,       0.000662/0.088931,                 0.0/0.0,
  117,   relocation,            31.0806,            31.0806,            81.0874,            702.261,                  0,      -0.002128/0.084063,      -0.005087/0.054396,       0.000000/0.072113,      -0.002155/0.088717,                 0.0/0.0,
  118,   relocation,              30.92,              30.92,            80.5436,            695.347,                  0,       0.000300/0.083695,      -0.001430/0.054473,      -0.000000/0.071871,       0.000555/0.088303,                 0.0/0.0,
  119,   relocation,             30.812,             30.812,            80.0671,            690.849,                  0,      -0.001816/0.083411,      -0.005271/0.054141,       0.000000/0.071658,      -0.001731/0.088002,                 0.0/0.0,
  120,   relocation,            31.0096,            31.0096,            79.7024,            688.324,                  0,       0.000036/0.083291,      -0.001298/0.054555,       0.000000/0.071494,       0.000197/0.087858,                 0.0/0.0,
   24, model update,            30.6759,            30.6759,            79.4187,             124779,                  0,      -0.001529/0.082895,      -0.005530/0.053994,      -0.000000/0.071367,       0.040131/1.182241,                 0.0/0.0,          0.0132684,
   25, model update,            71.5929,            71.5929,             80.454,             125497,                  0,       0.003901/0.093529,       0.053470/0.063374,       0.000000/0.071831,       0.040256/1.185640,                 0.0/0.0,           0.012605,
   26, model update,            36.6684,            36.6684,             78.167,             124764,                  0,      -0.003425/0.081969,      -0.026771/0.052960,      -0.000000/0.070802,       0.040163/1.182171,                 0.0/0.0,           0.012605,
   27, model update,            76.0024,            76.0024,            77.5672,             125539,                  0,       0.004436/0.092707,       0.060366/0.060455,       0.000000/0.070530,       0.040141/1.185839,                 0.0/0.0,          0.0119747,
